Zn Z = 30 3p
E= 50 kev
0.1135E-02	0.9697E-03	0.8116E-03	0.6322E-03	0.4310E-03	0.3040E-03	0.2135E-03	0.1439E-03	0.7831E-04	0.3388E-04	0.8064E-05	-.3987E-05	-.2124E-05	0.1484E-05	0.8652E-06	0.3074E-06	0.1146E-06	0.5650E-07	0.2614E-07	0.1690E-07	0.1256E-07	0.9846E-08	0.7933E-08	0.6515E-08	0.4594E-08	0.3397E-08	0.2609E-08	0.2064E-08
0.1006E-01	0.8701E-02	0.7348E-02	0.5771E-02	0.3972E-02	0.2842E-02	0.2034E-02	0.1403E-02	0.7847E-03	0.3511E-03	0.9194E-04	-.3288E-04	-.2193E-04	0.1469E-04	0.8742E-05	0.3146E-05	0.1184E-05	0.5998E-06	0.2868E-06	0.1866E-06	0.1382E-06	0.1078E-06	0.8661E-07	0.7100E-07	0.4999E-07	0.3694E-07	0.2835E-07	0.2243E-07
0.2250E-01	0.1963E-01	0.1658E-01	0.1290E-01	0.8710E-02	0.6240E-02	0.4575E-02	0.3292E-02	0.1952E-02	0.9428E-03	0.2993E-03	-.3234E-04	-.5550E-04	0.3491E-04	0.2130E-04	0.7664E-05	0.2845E-05	0.1428E-05	0.6860E-06	0.4464E-06	0.3304E-06	0.2577E-06	0.2069E-06	0.1696E-06	0.1194E-06	0.8824E-07	0.6773E-07	0.5358E-07
0.4208E-01	0.3695E-01	0.3105E-01	0.2352E-01	0.1488E-01	0.1020E-01	0.7519E-02	0.5682E-02	0.3691E-02	0.2009E-02	0.8049E-03	0.1087E-03	-.1095E-03	0.6108E-04	0.3889E-04	0.1356E-04	0.4659E-05	0.2159E-05	0.9788E-06	0.6297E-06	0.4694E-06	0.3694E-06	0.2984E-06	0.2455E-06	0.1734E-06	0.1283E-06	0.9856E-07	0.7799E-07
0.7655E-01	0.6841E-01	0.5790E-01	0.4335E-01	0.2558E-01	0.1567E-01	0.1064E-01	0.8114E-02	0.5919E-02	0.3862E-02	0.2043E-02	0.7453E-03	-.1884E-03	0.9322E-04	0.6461E-04	0.2108E-04	0.5900E-05	0.2088E-05	0.7060E-06	0.4237E-06	0.3358E-06	0.2806E-06	0.2349E-06	0.1972E-06	0.1419E-06	0.1058E-06	0.8154E-07	0.6463E-07
0.1931E+00	0.1813E+00	0.1633E+00	0.1328E+00	0.8794E-01	0.5596E-01	0.3415E-01	0.2034E-01	0.1063E-01	0.5872E-02	0.3491E-02	0.2222E-02	0.7758E-03	0.5506E-03	0.3157E-03	0.1357E-03	0.4296E-04	0.8946E-05	-.2860E-05	-.1983E-05	-.1092E-05	-.2341E-06	-.4619E-07	0.1367E-06	0.1272E-06	0.1019E-06	0.8138E-07	0.6634E-07
E=100 kev
0.9794E-03	0.7849E-03	0.6579E-03	0.5196E-03	0.3525E-03	0.2493E-03	0.1749E-03	0.1178E-03	0.6427E-04	0.2756E-04	0.6481E-05	-.3416E-05	-.1777E-05	0.1292E-05	0.7988E-06	0.3063E-06	0.1151E-06	0.5188E-07	0.2096E-07	0.1381E-07	0.1051E-07	0.8241E-08	0.6596E-08	0.5388E-08	0.3785E-08	0.2798E-08	0.2148E-08	0.1700E-08
0.8665E-02	0.7060E-02	0.5965E-02	0.4740E-02	0.3250E-02	0.2330E-02	0.1668E-02	0.1146E-02	0.6449E-03	0.2868E-03	0.7432E-04	-.2818E-04	-.1827E-04	0.1278E-04	0.8046E-05	0.3132E-05	0.1201E-05	0.5538E-06	0.2304E-06	0.1527E-06	0.1156E-06	0.9028E-07	0.7205E-07	0.5875E-07	0.4120E-07	0.3044E-07	0.2337E-07	0.1849E-07
0.1940E-01	0.1597E-01	0.1348E-01	0.1059E-01	0.7132E-02	0.5120E-02	0.3762E-02	0.2685E-02	0.1608E-02	0.7701E-03	0.2447E-03	-.2826E-04	-.4599E-04	0.3030E-04	0.1954E-04	0.7630E-05	0.2914E-05	0.1334E-05	0.5503E-06	0.3650E-06	0.2767E-06	0.2159E-06	0.1722E-06	0.1404E-06	0.9845E-07	0.7272E-07	0.5584E-07	0.4417E-07
