Xe Z = 54 5p
E= 50 kev 
1.5196E-02	 1.0065E-02	 6.6926E-03	 3.5718E-03	 1.2072E-03	 4.3246E-04	 1.7853E-04	 8.1563E-05	 2.7333E-05	 -4.0000E-06	 -1.7970E-05	 -1.9147E-05	 4.8936E-07	 4.1523E-07	 -6.7687E-07	 -5.5816E-07	 -3.7482E-07	 -2.7345E-07	 -1.6068E-07	 -1.0572E-07	 -7.5850E-08	 -5.7932E-08	 -4.5830E-08	 -3.7166E-08	 -2.5836E-08	 -1.8982E-08	 -1.4531E-08	 -1.1479E-08	 -9.2974E-09	 
7.6453E-01	 5.1154E-01	 3.3507E-01	 1.7031E-01	 4.3635E-02	 2.5637E-03	 -8.3912E-03	 -9.1769E-03	 -6.5177E-03	 -3.8820E-03	 -2.1242E-03	 -1.0817E-03	 2.8549E-05	 1.5320E-05	 -5.5624E-06	 -5.3145E-06	 -3.4778E-06	 -2.4452E-06	 -1.4258E-06	 -9.3829E-07	 -6.7501E-07	 -5.1636E-07	 -4.0888E-07	 -3.3173E-07	 -2.3068E-07	 -1.6950E-07	 -1.2975E-07	 -1.0251E-07	 -8.3022E-08	 
1.3160E+00	 9.0768E-01	 6.1082E-01	 3.2752E-01	 9.7706E-02	 1.3852E-02	 -1.2933E-02	 -1.7554E-02	 -1.3661E-02	 -8.5522E-03	 -4.8345E-03	 -2.5217E-03	 6.7079E-05	 3.9276E-05	 -1.2585E-05	 -1.2340E-05	 -7.9826E-06	 -5.5881E-06	 -3.2353E-06	 -2.1260E-06	 -1.5268E-06	 -1.1680E-06	 -9.2506E-07	 -7.5062E-07	 -5.2198E-07	 -3.8354E-07	 -2.9361E-07	 -2.3195E-07	 -1.8786E-07	 
1.4835E+00	 1.0444E+00	 7.1835E-01	 4.0209E-01	 1.3538E-01	 2.9985E-02	 -8.3704E-03	 -1.8327E-02	 -1.6285E-02	 -1.1017E-02	 -6.6485E-03	 -3.6886E-03	 9.8174E-05	 7.1861E-05	 -2.1473E-05	 -2.1708E-05	 -1.3902E-05	 -9.6223E-06	 -5.5736E-06	 -3.6436E-06	 -2.6111E-06	 -1.9972E-06	 -1.5818E-06	 -1.2835E-06	 -8.9265E-07	 -6.5589E-07	 -5.0209E-07	 -3.9665E-07	 -3.2124E-07	 
1.5670E+00	 1.1192E+00	 7.8334E-01	 4.5293E-01	 1.6575E-01	 4.6505E-02	 1.3800E-04	 -1.4094E-02	 -1.4694E-02	 -1.0868E-02	 -7.2414E-03	 -4.4924E-03	 1.0869E-04	 1.3813E-04	 -2.9770E-05	 -3.4507E-05	 -2.1830E-05	 -1.5063E-05	 -8.5802E-06	 -5.5312E-06	 -3.9477E-06	 -3.0192E-06	 -2.3917E-06	 -1.9409E-06	 -1.3499E-06	 -9.9191E-07	 -7.5929E-07	 -5.9983E-07	 -4.8580E-07	 
2.6871E+00	 1.9352E+00	 1.3734E+00	 8.1619E-01	 3.2182E-01	 1.0730E-01	 1.6611E-02	 -1.5544E-02	 -2.0865E-02	 -1.4395E-02	 -7.4416E-03	 -2.7227E-03	 1.4452E-03	 6.2734E-04	 7.8699E-05	 -7.2594E-05	 -6.8945E-05	 -4.6500E-05	 -1.9280E-05	 -8.0960E-06	 -5.0531E-06	 -3.5243E-06	 -2.9327E-06	 -2.3840E-06	 -1.6965E-06	 -1.2489E-06	 -9.5456E-07	 -7.5376E-07	 -6.1047E-07	 
E= 100 kev 
1.3512E-02	 7.8347E-03	 5.2504E-03	 3.0020E-03	 9.8613E-04	 3.5323E-04	 1.4124E-04	 6.9885E-05	 2.1575E-05	 -4.0684E-06	 -1.5325E-05	 -1.6128E-05	 3.6285E-07	 3.3152E-07	 -6.3567E-07	 -5.3484E-07	 -3.4311E-07	 -2.2885E-07	 -1.3056E-07	 -8.6561E-08	 -6.1923E-08	 -4.6691E-08	 -3.6696E-08	 -2.9779E-08	 -2.0737E-08	 -1.5246E-08	 -1.1673E-08	 -9.2224E-09	 -7.4693E-09	 
6.8239E-01	 3.9871E-01	 2.6277E-01	 1.4301E-01	 3.5466E-02	 2.0338E-03	 -7.1216E-03	 -7.2260E-03	 -5.4701E-03	 -3.2259E-03	 -1.7730E-03	 -9.0697E-04	 2.1794E-05	 1.2475E-05	 -5.3552E-06	 -5.1140E-06	 -3.1930E-06	 -2.0771E-06	 -1.1645E-06	 -7.7305E-07	 -5.5251E-07	 -4.1730E-07	 -3.2821E-07	 -2.6642E-07	 -1.8559E-07	 -1.3646E-07	 -1.0448E-07	 -8.2550E-08	 -6.6857E-08	 
1.1724E+00	 7.1116E-01	 4.8130E-01	 2.7376E-01	 7.9439E-02	 1.1224E-02	 -1.1050E-02	 -1.3811E-02	 -1.1457E-02	 -7.1009E-03	 -4.0298E-03	 -2.1093E-03	 5.2535E-05	 3.2421E-05	 -1.1998E-05	 -1.1835E-05	 -7.3445E-06	 -4.7286E-06	 -2.6255E-06	 -1.7418E-06	 -1.2411E-06	 -9.3672E-07	 -7.3646E-07	 -5.9789E-07	 -4.1657E-07	 -3.0631E-07	 -2.3454E-07	 -1.8530E-07	 -1.5008E-07	 
